,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,43.653746,-79.3809504,MAC Cosmetics,Cosmetic
1,1,"Korea, South",Seoul,21794000.0,37.5142093,127.104805,MAC Cosmetics,Cosmetic
2,2,Mexico,Mexico City,20996000.0,19.2994914,-99.1367632,MAC Cosmetics,Cosmetic
3,3,United States,New York,18713220.0,40.642892,-73.782398,MAC Cosmetics,Cosmetic
4,4,Nigeria,Lagos,15279000.0,52.95335195,-1.1507451809102196,MAC Cosmetics,Cosmetic
5,5,Vietnam,Ho Chi Minh City,13312000.0,-12.471143,130.9838972,MAC Cosmetics,Cosmetic
6,6,United States,Los Angeles,12750807.0,33.9413694,-118.4020992,MAC Cosmetics,Cosmetic
7,7,France,Paris,11020000.0,48.8591926,2.345738,MAC Cosmetics,Cosmetic
8,8,United Kingdom,London,10979000.0,51.5431765,-0.0072922,MAC Cosmetics,Cosmetic
9,9,Peru,Lima,9848000.0,-12.0059372,-77.057967,MAC Cosmetics,Cosmetic
10,10,China,Xi’an,7135000.0,43.5274744,5.4505309,MAC Cosmetics,Cosmetic
11,11,United States,Miami,6445545.0,25.7905936,-80.1406102,MAC Cosmetics,Cosmetic
12,12,China,Lu’an,6090000.0,51.9187561,4.4778509,MAC Cosmetics,Cosmetic
13,13,Spain,Madrid,6026000.0,40.4180141,-3.7047583,MAC Cosmetics,Cosmetic
14,14,United States,Dallas,5743938.0,32.9298284,-96.8189282,MAC Cosmetics,Cosmetic
15,15,United States,Philadelphia,5649300.0,39.8745718,-75.251143,MAC Cosmetics,Cosmetic
