,Country,City,Population,Latitude,Longitude,Company,Type
0,Japan,Tokyo,37977000.0,35.544869399999996,139.7699027,Cartier,Luxury
1,India,Delhi,29617000.0,14.6782621,121.0456235,Cartier,Luxury
2,India,Mumbai,23355000.0,14.6782621,121.0456235,Cartier,Luxury
3,Philippines,Manila,23088000.0,14.6782621,121.0456235,Cartier,Luxury
4,China,Shanghai,22120000.0,31.2291091,121.4488685,Cartier,Luxury
5,Brazil,São Paulo,22046000.0,-23.3980932,-46.7531652,Cartier,Luxury
6,"Korea, South",Seoul,21794000.0,37.5122172,127.1018171,Cartier,Luxury
7,Mexico,Mexico City,20996000.0,19.4323151,-99.2017292,Cartier,Luxury
8,China,Beijing,19433000.0,39.9089985,116.4731978,Cartier,Luxury
9,United States,New York,18713220.0,40.7962598,-73.6709429,Cartier,Luxury
10,India,Kolkāta,17560000.0,14.6782621,121.0456235,Cartier,Luxury
11,Russia,Moscow,17125000.0,55.7616236,37.6178335,Cartier,Luxury
12,Thailand,Bangkok,17066000.0,13.7466858,100.5342323,Cartier,Luxury
13,Argentina,Buenos Aires,16157000.0,-34.5720699,-59.1118742,Cartier,Luxury
14,Bangladesh,Dhaka,15443000.0,14.6782621,121.0456235,Cartier,Luxury
15,Nigeria,Lagos,15279000.0,46.7024201,-81.55852930634249,Cartier,Luxury
16,Turkey,Istanbul,15154000.0,14.6782621,121.0456235,Cartier,Luxury
17,Japan,Ōsaka,14977000.0,34.675766,135.5006614,Cartier,Luxury
18,Pakistan,Karachi,14835000.0,14.6782621,121.0456235,Cartier,Luxury
19,India,Bangalore,13707000.0,12.9575615,77.70908150563875,Cartier,Luxury
20,Iran,Tehran,13633000.0,14.6782621,121.0456235,Cartier,Luxury
21,Vietnam,Ho Chi Minh City,13312000.0,14.6782621,121.0456235,Cartier,Luxury
22,United States,Los Angeles,12750807.0,-37.4843668,-72.3290668,Cartier,Luxury
23,Brazil,Rio de Janeiro,12272000.0,-22.9992717,-43.351191296598714,Cartier,Luxury
24,India,Chennai,11324000.0,14.6782621,121.0456235,Cartier,Luxury
25,China,Chengdu,11309000.0,30.6561018,104.0799124,Cartier,Luxury
26,Pakistan,Lahore,11021000.0,14.6782621,121.0456235,Cartier,Luxury
27,France,Paris,11020000.0,48.8681422,2.3296936,Cartier,Luxury
28,United Kingdom,London,10979000.0,51.4591841,-0.44811084796312606,Cartier,Luxury
29,Peru,Lima,9848000.0,-11.9598157,-77.0502,Cartier,Luxury
30,India,Hyderābād,9746000.0,14.6782621,121.0456235,Cartier,Luxury
31,Colombia,Bogotá,9464000.0,4.6675525,-74.0525929,Cartier,Luxury
32,Japan,Nagoya,9113000.0,35.1699144,136.8850002,Cartier,Luxury
33,Malaysia,Kuala Lumpur,8285000.0,3.1483102,101.7134763,Cartier,Luxury
34,China,Jinan,7967400.0,36.6629367,117.0195656,Cartier,Luxury
35,India,Pune,7764000.0,14.6782621,121.0456235,Cartier,Luxury
36,China,Nanjing,7496000.0,32.0464059,118.7794214,Cartier,Luxury
37,India,Ahmedabad,7410000.0,14.6782621,121.0456235,Cartier,Luxury
38,Hong Kong,Hong Kong,7347000.0,22.2814575,114.1591239,Cartier,Luxury
39,China,Xi’an,7135000.0,44.4522403,-0.0673191,Cartier,Luxury
40,Chile,Santiago,7007000.0,-27.7690447,-64.2937607,Cartier,Luxury
41,United States,Miami,6445545.0,25.8128777,-80.1924201,Cartier,Luxury
42,China,Lu’an,6090000.0,36.4850492,-4.9539659,Cartier,Luxury
43,Spain,Madrid,6026000.0,14.6782621,121.0456235,Cartier,Luxury
44,India,Sūrat,5807000.0,14.6782621,121.0456235,Cartier,Luxury
45,China,Qingdao,5775000.0,36.0601635,120.390262,Cartier,Luxury
46,Singapore,Singapore,5745000.0,1.3026815,103.8347892,Cartier,Luxury
47,United States,Dallas,5743938.0,45.5553469,-73.7018064,Cartier,Luxury
48,Kenya,Nairobi,5545000.0,14.6782621,121.0456235,Cartier,Luxury
49,China,Tai’an,5499000.0,46.8997786,6.3472603,Cartier,Luxury
50,United States,Houston,5464251.0,29.7429808,-95.4530923,Cartier,Luxury
51,Canada,Toronto,5429524.0,43.6687584,-79.3922173,Cartier,Luxury
52,United States,Washington,5379184.0,47.579756,-122.665226,Cartier,Luxury
53,Russia,Saint Petersburg,5351935.0,59.9367824,30.319283,Cartier,Luxury
54,Australia,Sydney,5312163.0,-33.8696049,151.2097544,Cartier,Luxury
55,Mexico,Guadalajara,5253000.0,20.6360533,-103.3775521,Cartier,Luxury
56,Australia,Melbourne,5078193.0,-37.8911115,144.7709711,Cartier,Luxury
57,Indonesia,Surabaya,4975000.0,14.6782621,121.0456235,Cartier,Luxury
58,China,Ji’an,4956600.0,44.4522403,-0.0673191,Cartier,Luxury
59,United States,Boston,4688346.0,42.3520827,-71.072472,Cartier,Luxury
60,Spain,Barcelona,4588000.0,41.3944815,2.1627592,Cartier,Luxury
61,China,Wuxi,4580000.0,31.5743194,120.2973318,Cartier,Luxury
62,China,Harbin,4458000.0,45.7560719,126.599409,Cartier,Luxury
63,South Africa,Johannesburg,4434827.0,-26.1085413,28.052297,Cartier,Luxury
64,Morocco,Casablanca,4370000.0,33.5957534,-7.6186893,Cartier,Luxury
65,Mexico,Monterrey,4295000.0,-37.4843668,-72.3290668,Cartier,Luxury
66,United States,Phoenix,4219697.0,14.6782621,121.0456235,Cartier,Luxury
67,Japan,Yokohama,3757630.0,14.6782621,121.0456235,Cartier,Luxury
68,Germany,Berlin,3644826.0,52.5008639,13.3164913,Cartier,Luxury
69,United States,San Francisco,3592294.0,37.7887157,-122.4061116,Cartier,Luxury
70,Canada,Montréal,3519595.0,-37.4843668,-72.3290668,Cartier,Luxury
71,Algeria,Algiers,3415811.0,36.7673218,3.0526736,Cartier,Luxury
72,China,Taiyuan,3398000.0,37.8188506,112.5581071,Cartier,Luxury
73,China,Chaoyang,3370000.0,39.9089985,116.4731978,Cartier,Luxury
74,China,Zhongshan,3260000.0,32.0464059,118.7794214,Cartier,Luxury
75,Bolivia,Santa Cruz,3151676.0,28.0912447,-16.7392586,Cartier,Luxury
76,Brazil,Brasília,3015268.0,-22.9992717,-43.351191296598714,Cartier,Luxury
77,Philippines,Quezon City,2936116.0,14.6782621,121.0456235,Cartier,Luxury
78,United States,Tampa,2908063.0,28.0516618,-82.4431772,Cartier,Luxury
79,United States,Denver,2876625.0,14.6782621,121.0456235,Cartier,Luxury
80,Italy,Rome,2872800.0,41.9055504,12.4814352,Cartier,Luxury
81,Ecuador,Guayaquil,2723665.0,14.6782621,121.0456235,Cartier,Luxury
82,United Kingdom,Manchester,2705000.0,42.9952479,-71.4767203,Cartier,Luxury
83,Madagascar,Antananarivo,2610000.0,14.6782621,121.0456235,Cartier,Luxury
84,Bangladesh,Chattogram,2581643.0,14.6782621,121.0456235,Cartier,Luxury
85,Dominican Republic,Santo Domingo,2581827.0,5.0685734,-75.5209576,Cartier,Luxury
86,United States,Brooklyn,2559903.0,14.6782621,121.0456235,Cartier,Luxury
87,Colombia,Medellín,2529403.0,14.6782621,121.0456235,Cartier,Luxury
88,Australia,Brisbane,2514184.0,-27.469354000000003,153.0276178756904,Cartier,Luxury
89,United Arab Emirates,Dubai,2502715.0,14.6782621,121.0456235,Cartier,Luxury
90,India,Mirzāpur,2496970.0,14.6782621,121.0456235,Cartier,Luxury
91,Brazil,Fortaleza,2452185.0,-3.7240215,-38.665388365166145,Cartier,Luxury
92,Guatemala,Guatemala City,2450212.0,45.1712948,28.798566604419108,Cartier,Luxury
