,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,35.663774,139.71444,Prada,Luxury
1,1,Indonesia,Jakarta,34540000.0,-6.2198921,106.787619,Prada,Luxury
2,2,India,Delhi,29617000.0,46.3092354,10.0706491,Prada,Luxury
3,3,India,Mumbai,23355000.0,46.3092354,10.0706491,Prada,Luxury
4,4,Philippines,Manila,23088000.0,46.3092354,10.0706491,Prada,Luxury
5,5,China,Shanghai,22120000.0,31.2180508,121.4541852,Prada,Luxury
6,6,Brazil,São Paulo,22046000.0,-22.57518935,-47.41064716880531,Prada,Luxury
7,7,"Korea, South",Seoul,21794000.0,37.5264055,127.04634506143525,Prada,Luxury
8,8,Mexico,Mexico City,20996000.0,19.466653,-99.213074,Prada,Luxury
9,9,China,Guangzhou,20902000.0,23.1363735,113.326915,Prada,Luxury
10,10,China,Beijing,19433000.0,39.9079561,116.4727357,Prada,Luxury
