,Country,City,Population,Latitude,Longitude,Company,Type
0,Japan,Tokyo,37977000.0,35.7056172,139.5769351,Nike,Mode
1,Indonesia,Jakarta,34540000.0,-6.2656348,106.7830542,Nike,Mode
2,India,Delhi,29617000.0,28.5573461,77.163798,Nike,Mode
3,India,Mumbai,23355000.0,19.1362681,72.8296148,Nike,Mode
4,Philippines,Manila,23088000.0,14.6520224,121.0755371,Nike,Mode
5,China,Shanghai,22120000.0,31.2363921,121.4705843,Nike,Mode
6,Brazil,São Paulo,22046000.0,-23.420056600000002,-47.163394579447306,Nike,Mode
7,"Korea, South",Seoul,21794000.0,37.502298,127.0259218,Nike,Mode
8,Mexico,Mexico City,20996000.0,19.438915,-99.2010688,Nike,Mode
9,China,Guangzhou,20902000.0,23.1281183,113.2637371,Nike,Mode
10,China,Beijing,19433000.0,39.7853191,116.3196691,Nike,Mode
11,Egypt,Cairo,19372000.0,30.0587324,31.2214644,Nike,Mode
12,United States,New York,18713220.0,40.6230394,-73.63827,Nike,Mode
13,India,Kolkāta,17560000.0,22.5618943,88.3511411,Nike,Mode
14,Russia,Moscow,17125000.0,55.771065,37.6201165,Nike,Mode
15,Thailand,Bangkok,17066000.0,13.9175416,100.6013761,Nike,Mode
16,Argentina,Buenos Aires,16157000.0,-34.6187238,-58.43791534229638,Nike,Mode
17,China,Shenzhen,15929000.0,22.6259715,114.0198503,Nike,Mode
18,Bangladesh,Dhaka,15443000.0,52.2102232,20.9130671,Nike,Mode
19,Nigeria,Lagos,15279000.0,6.4315265,3.481844656830685,Nike,Mode
20,Turkey,Istanbul,15154000.0,41.0143495,28.9675463,Nike,Mode
21,Japan,Ōsaka,14977000.0,34.672071,135.5006127,Nike,Mode
22,Pakistan,Karachi,14835000.0,24.8139919,67.0277322,Nike,Mode
23,India,Bangalore,13707000.0,13.0293655,77.570961,Nike,Mode
24,Iran,Tehran,13633000.0,31.9857022,34.767562,Nike,Mode
25,Vietnam,Ho Chi Minh City,13312000.0,10.7699376,106.6913455,Nike,Mode
26,United States,Los Angeles,12750807.0,34.1459389,-118.1513107,Nike,Mode
27,Brazil,Rio de Janeiro,12272000.0,-22.5195529,-44.0038759,Nike,Mode
28,China,Baoding,11860000.0,38.8668576,115.4919648,Nike,Mode
29,India,Chennai,11324000.0,52.2102232,20.9130671,Nike,Mode
30,China,Chengdu,11309000.0,30.6550104,104.0814439,Nike,Mode
31,Pakistan,Lahore,11021000.0,52.2102232,20.9130671,Nike,Mode
32,France,Paris,11020000.0,48.86126265,2.347509766277338,Nike,Mode
33,United Kingdom,London,10979000.0,51.5077603,-0.2205688,Nike,Mode
34,China,Tianjin,10800000.0,39.1609814,117.3930522,Nike,Mode
35,Peru,Lima,9848000.0,-12.0771769,-77.0829793,Nike,Mode
36,India,Hyderābād,9746000.0,17.4340349,78.4038158,Nike,Mode
37,Colombia,Bogotá,9464000.0,4.69747865,-74.044970068726,Nike,Mode
38,China,Weifang,9373000.0,36.7099294,119.1060122,Nike,Mode
39,Japan,Nagoya,9113000.0,35.1680638,136.9073265,Nike,Mode
40,China,Wuhan,8962000.0,30.5085295,114.2019372,Nike,Mode
41,China,Heze,8750000.0,34.7904419,116.0789592,Nike,Mode
42,United States,Chicago,8604203.0,41.9116924,-87.677657,Nike,Mode
43,Angola,Luanda,8417000.0,-8.811142449999998,13.256051153629706,Nike,Mode
44,Malaysia,Kuala Lumpur,8285000.0,52.2102232,20.9130671,Nike,Mode
45,China,Dongguan,7981000.0,38.8668576,115.4919648,Nike,Mode
46,China,Jinan,7967400.0,36.6538475,116.9679758,Nike,Mode
47,Vietnam,Hanoi,7785000.0,21.00241975,105.81576440366882,Nike,Mode
48,India,Pune,7764000.0,52.2102232,20.9130671,Nike,Mode
49,China,Chongqing,7739000.0,43.8891926,125.314691,Nike,Mode
50,China,Changchun,7674439.0,43.8891926,125.314691,Nike,Mode
51,China,Ningbo,7639000.0,29.8283607,121.5431917,Nike,Mode
52,China,Nanjing,7496000.0,31.2363921,121.4705843,Nike,Mode
53,India,Ahmedabad,7410000.0,52.2102232,20.9130671,Nike,Mode
54,Hong Kong,Hong Kong,7347000.0,22.3172438,114.1714628,Nike,Mode
55,China,Nanning,7153300.0,22.816278,108.3303719,Nike,Mode
56,China,Xi’an,7135000.0,34.820575149999996,135.75757356926567,Nike,Mode
57,China,Tangshan,7100000.0,40.1399406,118.305451,Nike,Mode
58,Chile,Santiago,7007000.0,-33.4515164,-70.6782968,Nike,Mode
59,China,Hangzhou,6446000.0,30.3114844,120.3314216,Nike,Mode
60,United States,Miami,6445545.0,25.7906437,-80.1396932,Nike,Mode
61,China,Maoming,6313200.0,21.6675782,110.9461205,Nike,Mode
62,China,Kunming,6250000.0,25.0399253,102.709263,Nike,Mode
63,China,Zunyi,6127009.0,31.2099192,121.40301,Nike,Mode
64,Spain,Madrid,6026000.0,40.4220475,-3.6978504,Nike,Mode
65,India,Sūrat,5807000.0,52.2102232,20.9130671,Nike,Mode
66,China,Qingdao,5775000.0,36.066283,120.3725758,Nike,Mode
67,Singapore,Singapore,5745000.0,1.3035299,103.8356524,Nike,Mode
68,United States,Dallas,5743938.0,32.867604,-96.7730404,Nike,Mode
69,Kenya,Nairobi,5545000.0,-1.2978304,36.7629406,Nike,Mode
70,China,Tai’an,5499000.0,34.27812755,135.2960125,Nike,Mode
71,United States,Atlanta,5449398.0,33.848158,-84.363032,Nike,Mode
72,Canada,Toronto,5429524.0,43.7778261,-79.3450284,Nike,Mode
73,United States,Washington,5379184.0,38.915451,-76.984954,Nike,Mode
74,China,Jinhua,5361572.0,29.3284163,120.10284,Nike,Mode
75,Russia,Saint Petersburg,5351935.0,60.0590565,30.3349744,Nike,Mode
76,Mexico,Guadalajara,5253000.0,20.6903757,-103.3735164,Nike,Mode
77,China,Fuzhou,5245000.0,26.0833816,119.2961525,Nike,Mode
78,China,Pudong,5187200.0,31.2293263,121.5230249,Nike,Mode
79,Australia,Melbourne,5078193.0,-37.812097,144.9639793,Nike,Mode
80,Indonesia,Surabaya,4975000.0,52.2102232,20.9130671,Nike,Mode
81,China,Ji’an,4956600.0,43.4901637,-1.4938429,Nike,Mode
82,Egypt,Alexandria,4870000.0,44.7355627,8.838112,Nike,Mode
83,China,Guilin,4747963.0,25.2761606,110.2928174,Nike,Mode
84,United States,Boston,4688346.0,42.3500539,-71.0801529,Nike,Mode
85,China,Changzhou,4592431.0,31.7304326,119.9371768,Nike,Mode
86,Spain,Barcelona,4588000.0,41.4102443,2.2169438,Nike,Mode
87,China,Wuxi,4580000.0,31.5141444,120.2772251,Nike,Mode
88,China,Jiaxing,4501657.0,30.5026611,120.6894965,Nike,Mode
89,China,Harbin,4458000.0,39.1261966,117.1971528,Nike,Mode
90,South Africa,Johannesburg,4434827.0,-26.1443944,28.0425577,Nike,Mode
91,Morocco,Casablanca,4370000.0,33.7086791,-7.3477281,Nike,Mode
92,Turkey,İzmir,4320519.0,38.4502376,27.2093795,Nike,Mode
