,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,35.7056172,139.5769351,Nike,Mode
1,1,Indonesia,Jakarta,34540000.0,-6.2656348,106.7830542,Nike,Mode
2,2,India,Delhi,29617000.0,28.5573461,77.163798,Nike,Mode
3,3,India,Mumbai,23355000.0,19.1362681,72.8296148,Nike,Mode
4,4,Philippines,Manila,23088000.0,14.6520224,121.0755371,Nike,Mode
5,5,China,Shanghai,22120000.0,31.2363921,121.4705843,Nike,Mode
6,6,Brazil,São Paulo,22046000.0,-23.4200566,-47.163394579447306,Nike,Mode
7,7,"Korea, South",Seoul,21794000.0,37.502298,127.0259218,Nike,Mode
8,8,Mexico,Mexico City,20996000.0,19.438915,-99.2010688,Nike,Mode
9,9,China,Guangzhou,20902000.0,23.1281183,113.2637371,Nike,Mode
10,10,China,Beijing,19433000.0,39.7853191,116.3196691,Nike,Mode
