,Country,City,Population,Latitude,Longitude,Company,Type
0,Japan,Tokyo,37977000.0,35.660819000000004,139.72860148656522,Zara,Mode
1,India,Delhi,29617000.0,28.5598136,77.2061901,Zara,Mode
2,India,Mumbai,23355000.0,19.1067161,72.89948034277606,Zara,Mode
3,Philippines,Manila,23088000.0,14.5516204,121.0470494,Zara,Mode
4,China,Shanghai,22120000.0,31.2377067,121.4742044,Zara,Mode
5,Brazil,São Paulo,22046000.0,-21.2111956,-47.8171951,Zara,Mode
6,"Korea, South",Seoul,21794000.0,37.514185,127.1050698,Zara,Mode
7,Mexico,Mexico City,20996000.0,19.4868421,-99.1517377,Zara,Mode
8,China,Guangzhou,20902000.0,23.1354625,113.3257901,Zara,Mode
9,China,Beijing,19433000.0,39.823558,116.2930646,Zara,Mode
10,Egypt,Cairo,19372000.0,29.981895,31.3161009,Zara,Mode
11,United States,New York,18713220.0,40.7380555,-73.9918937,Zara,Mode
12,India,Kolkāta,17560000.0,42.2136323,20.7299705,Zara,Mode
13,Russia,Moscow,17125000.0,55.7581914,38.0823979,Zara,Mode
14,Thailand,Bangkok,17066000.0,13.7458341,100.5353938,Zara,Mode
15,Argentina,Buenos Aires,16157000.0,-34.5956419,-58.3952722,Zara,Mode
16,China,Shenzhen,15929000.0,22.5624552,113.9012145,Zara,Mode
17,Bangladesh,Dhaka,15443000.0,23.7802162,90.4145353,Zara,Mode
18,Nigeria,Lagos,15279000.0,39.8825956,37.78732544185303,Zara,Mode
19,Turkey,Istanbul,15154000.0,40.9590444,29.0827103,Zara,Mode
20,Japan,Ōsaka,14977000.0,34.67013,135.501491,Zara,Mode
21,Pakistan,Karachi,14835000.0,24.8335178,67.3150038,Zara,Mode
22,India,Bangalore,13707000.0,13.0110782,77.5553337,Zara,Mode
23,Iran,Tehran,13633000.0,42.2136323,20.7299705,Zara,Mode
24,Vietnam,Ho Chi Minh City,13312000.0,43.0314647,44.6693779,Zara,Mode
25,United States,Los Angeles,12750807.0,34.1013535,-118.3403881,Zara,Mode
26,India,Chennai,11324000.0,42.2136323,20.7299705,Zara,Mode
27,China,Chengdu,11309000.0,30.6883603,104.0724326,Zara,Mode
28,Pakistan,Lahore,11021000.0,42.2136323,20.7299705,Zara,Mode
29,France,Paris,11020000.0,48.8709702,2.3330039,Zara,Mode
30,United Kingdom,London,10979000.0,51.55428885,-0.16589721117909056,Zara,Mode
31,China,Tianjin,10800000.0,39.1259529,117.1956811,Zara,Mode
32,China,Shijiazhuang,10784600.0,38.04338,114.5003175,Zara,Mode
33,Peru,Lima,9848000.0,-12.0856502,-76.9764765,Zara,Mode
34,India,Hyderābād,9746000.0,17.4399027,78.363732,Zara,Mode
35,Colombia,Bogotá,9464000.0,4.66674025,-74.05424893889608,Zara,Mode
36,China,Wuhan,8962000.0,30.5594059,114.3353627,Zara,Mode
37,United States,Chicago,8604203.0,41.8951552,-87.6246644,Zara,Mode
38,Angola,Luanda,8417000.0,-8.8870651,13.2051603,Zara,Mode
39,China,Changsha,8394500.0,28.202852,112.9711203,Zara,Mode
40,Malaysia,Kuala Lumpur,8285000.0,3.1468179,101.7117182,Zara,Mode
41,Vietnam,Hanoi,7785000.0,21.0411831,105.8236961,Zara,Mode
42,India,Pune,7764000.0,42.2136323,20.7299705,Zara,Mode
43,China,Ningbo,7639000.0,29.8281451,121.5433732,Zara,Mode
44,China,Nanjing,7496000.0,31.2377067,121.4742044,Zara,Mode
45,China,Hefei,7457027.0,31.8583503,117.2966534,Zara,Mode
46,India,Ahmedabad,7410000.0,42.2136323,20.7299705,Zara,Mode
47,China,Xi’an,7135000.0,67.6351186,53.0014394,Zara,Mode
48,Chile,Santiago,7007000.0,-33.4519071,-70.56871,Zara,Mode
49,Saudi Arabia,Riyadh,6881000.0,24.6000475,46.7571026,Zara,Mode
50,Tanzania,Dar es Salaam,6698000.0,-6.8301907,39.2517679,Zara,Mode
51,China,Luoyang,6549941.0,34.6184058,112.4547773,Zara,Mode
52,United States,Miami,6445545.0,25.790513,-80.1321863,Zara,Mode
53,Spain,Madrid,6026000.0,40.4157729,-3.7033266,Zara,Mode
54,India,Sūrat,5807000.0,9.4658999,100.0451065,Zara,Mode
55,Iraq,Baghdad,5796000.0,33.3173,44.35,Zara,Mode
56,China,Qingdao,5775000.0,36.0659346,120.3727639,Zara,Mode
57,Singapore,Singapore,5745000.0,1.2829681,103.8586839,Zara,Mode
58,United States,Dallas,5743938.0,32.9319392,-96.8191326,Zara,Mode
59,China,Suzhou,5690000.0,31.3133975,120.6210404,Zara,Mode
60,United States,Philadelphia,5649300.0,39.9501397,-75.1697968,Zara,Mode
61,Egypt,Giza,5598402.0,29.9916962,31.1379847,Zara,Mode
62,Kenya,Nairobi,5545000.0,42.2136323,20.7299705,Zara,Mode
63,Turkey,Ankara,5503985.0,39.8883669,32.81124,Zara,Mode
64,United States,Houston,5464251.0,29.9611819,-95.5397042,Zara,Mode
65,United States,Atlanta,5449398.0,33.9244114,-84.3415954,Zara,Mode
66,Canada,Toronto,5429524.0,43.7756895,-79.2587279,Zara,Mode
67,United States,Washington,5379184.0,38.8975382,-77.0264242,Zara,Mode
68,China,Jinhua,5361572.0,29.3109888,120.0682231,Zara,Mode
69,Russia,Saint Petersburg,5351935.0,59.7513984,30.624419513520554,Zara,Mode
70,China,Shantou,5319028.0,23.369537,116.7443006,Zara,Mode
71,Australia,Sydney,5312163.0,-33.797059,151.1827805,Zara,Mode
72,Mexico,Guadalajara,5253000.0,20.6875647,-103.2957787,Zara,Mode
73,China,Suzhou,5250000.0,31.3133975,120.6210404,Zara,Mode
74,China,Pudong,5187200.0,31.2293363,121.5223758,Zara,Mode
75,Australia,Melbourne,5078193.0,-37.7845618,145.1254475,Zara,Mode
76,China,Nanchang,5042565.0,28.6967306,115.844515,Zara,Mode
77,Indonesia,Surabaya,4975000.0,-7.2880362,112.676168,Zara,Mode
78,Côte D’Ivoire,Abidjan,4980000.0,5.3686689,-3.9583243,Zara,Mode
79,China,Ji’an,4956600.0,30.0267942,102.2174835,Zara,Mode
80,Egypt,Alexandria,4870000.0,44.91260895,8.61302015,Zara,Mode
81,United States,Boston,4688346.0,42.3498626,-71.0806797,Zara,Mode
82,China,Changzhou,4592431.0,31.8206394,119.9657342,Zara,Mode
83,Spain,Barcelona,4588000.0,41.3894664,2.1688707,Zara,Mode
84,China,Wuxi,4580000.0,31.490934,120.2984181,Zara,Mode
85,China,Dalian,4480000.0,38.9166183,121.629937,Zara,Mode
86,South Africa,Johannesburg,4434827.0,-26.0153132,28.1080001,Zara,Mode
87,Morocco,Casablanca,4370000.0,33.5869332,-7.633888,Zara,Mode
88,China,Guiyang,4365000.0,26.5792956,106.7082028,Zara,Mode
89,Turkey,İzmir,4320519.0,38.4346103,27.139813,Zara,Mode
90,Mexico,Monterrey,4295000.0,25.6387373,-100.3143035,Zara,Mode
91,United States,Phoenix,4219697.0,42.2136323,20.7299705,Zara,Mode
92,Jordan,Amman,4007526.0,31.964351,35.9082719,Zara,Mode
93,United States,Seattle,3789215.0,47.6116696,-122.337055,Zara,Mode
94,Japan,Yokohama,3757630.0,35.5161689,139.5661519,Zara,Mode
95,Germany,Berlin,3644826.0,52.5186515,13.4157138,Zara,Mode
96,China,Anshan,3645884.0,41.1082818,122.9794828,Zara,Mode
97,China,Chengde,3610000.0,25.049423,121.5172361,Zara,Mode
98,United States,San Francisco,3592294.0,37.7886996,-122.4062938,Zara,Mode
99,Canada,Montréal,3519595.0,45.501619,-73.571716,Zara,Mode
100,Algeria,Algiers,3415811.0,36.7123737,3.1966735,Zara,Mode
