,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,35.660819000000004,139.72860148656522,Zara,Mode
1,1,India,Delhi,29617000.0,28.5598136,77.2061901,Zara,Mode
2,2,India,Mumbai,23355000.0,19.1067161,72.89948034277606,Zara,Mode
3,3,Philippines,Manila,23088000.0,14.5516204,121.0470494,Zara,Mode
4,4,China,Shanghai,22120000.0,31.2377067,121.4742044,Zara,Mode
5,5,Brazil,São Paulo,22046000.0,-21.2111956,-47.8171951,Zara,Mode
6,6,"Korea, South",Seoul,21794000.0,37.514185,127.1050698,Zara,Mode
7,7,Mexico,Mexico City,20996000.0,19.4868421,-99.1517377,Zara,Mode
8,8,China,Guangzhou,20902000.0,23.1354625,113.3257901,Zara,Mode
9,9,China,Beijing,19433000.0,39.823558,116.2930646,Zara,Mode
10,10,Egypt,Cairo,19372000.0,29.981895,31.3161009,Zara,Mode
11,11,United States,New York,18713220.0,40.7380555,-73.9918937,Zara,Mode
12,12,India,Kolkāta,17560000.0,42.2136323,20.7299705,Zara,Mode
13,13,Russia,Moscow,17125000.0,55.7581914,38.0823979,Zara,Mode
14,14,Thailand,Bangkok,17066000.0,13.7458341,100.5353938,Zara,Mode
15,15,Argentina,Buenos Aires,16157000.0,-34.5956419,-58.3952722,Zara,Mode
16,16,China,Shenzhen,15929000.0,22.5624552,113.9012145,Zara,Mode
17,17,Bangladesh,Dhaka,15443000.0,23.7802162,90.4145353,Zara,Mode
18,18,Nigeria,Lagos,15279000.0,39.8825956,37.78732544185303,Zara,Mode
19,19,Turkey,Istanbul,15154000.0,40.9590444,29.0827103,Zara,Mode
20,20,Japan,Ōsaka,14977000.0,34.67013,135.501491,Zara,Mode
21,21,Pakistan,Karachi,14835000.0,24.8335178,67.3150038,Zara,Mode
22,22,India,Bangalore,13707000.0,13.0110782,77.5553337,Zara,Mode
23,23,Iran,Tehran,13633000.0,42.2136323,20.7299705,Zara,Mode
24,24,Vietnam,Ho Chi Minh City,13312000.0,43.0314647,44.6693779,Zara,Mode
25,25,United States,Los Angeles,12750807.0,34.1013535,-118.3403881,Zara,Mode
26,26,India,Chennai,11324000.0,42.2136323,20.7299705,Zara,Mode
27,27,China,Chengdu,11309000.0,30.6883603,104.0724326,Zara,Mode
28,28,Pakistan,Lahore,11021000.0,42.2136323,20.7299705,Zara,Mode
29,29,France,Paris,11020000.0,48.8709702,2.3330039,Zara,Mode
30,30,United Kingdom,London,10979000.0,51.55428885,-0.1658972111790905,Zara,Mode
31,31,China,Tianjin,10800000.0,39.1259529,117.1956811,Zara,Mode
32,32,China,Shijiazhuang,10784600.0,38.04338,114.5003175,Zara,Mode
33,33,Peru,Lima,9848000.0,-12.0856502,-76.9764765,Zara,Mode
34,34,India,Hyderābād,9746000.0,17.4399027,78.363732,Zara,Mode
35,35,Colombia,Bogotá,9464000.0,4.66674025,-74.05424893889608,Zara,Mode
36,36,China,Wuhan,8962000.0,30.5594059,114.3353627,Zara,Mode
37,37,United States,Chicago,8604203.0,41.8951552,-87.6246644,Zara,Mode
38,38,Angola,Luanda,8417000.0,-8.8870651,13.2051603,Zara,Mode
39,39,China,Changsha,8394500.0,28.202852,112.9711203,Zara,Mode
40,40,Malaysia,Kuala Lumpur,8285000.0,3.1468179,101.7117182,Zara,Mode
41,41,Vietnam,Hanoi,7785000.0,21.0411831,105.8236961,Zara,Mode
42,42,India,Pune,7764000.0,42.2136323,20.7299705,Zara,Mode
43,43,China,Ningbo,7639000.0,29.8281451,121.5433732,Zara,Mode
44,44,China,Nanjing,7496000.0,31.2377067,121.4742044,Zara,Mode
45,45,China,Hefei,7457027.0,31.8583503,117.2966534,Zara,Mode
46,46,India,Ahmedabad,7410000.0,42.2136323,20.7299705,Zara,Mode
47,47,China,Xi’an,7135000.0,67.6351186,53.0014394,Zara,Mode
48,48,Chile,Santiago,7007000.0,-33.4519071,-70.56871,Zara,Mode
49,49,Saudi Arabia,Riyadh,6881000.0,24.6000475,46.7571026,Zara,Mode
50,50,Tanzania,Dar es Salaam,6698000.0,-6.8301907,39.2517679,Zara,Mode
