,Country,City,Population,Latitude,Longitude,Company,Type
0,Japan,Tokyo,37977000.0,35.672324950000004,139.7657468,Apple,Tech
1,Indonesia,Jakarta,34540000.0,-6.1805168,106.8401436,Apple,Tech
2,India,Delhi,29617000.0,28.5676224,77.2467184,Apple,Tech
3,India,Mumbai,23355000.0,19.1348,72.83235962499127,Apple,Tech
4,Philippines,Manila,23088000.0,14.7000584,121.0858365,Apple,Tech
5,China,Shanghai,22120000.0,31.2350886,121.4754904,Apple,Tech
6,Brazil,São Paulo,22046000.0,-23.6059177,-46.6581073,Apple,Tech
7,"Korea, South",Seoul,21794000.0,37.5646213,126.9827355,Apple,Tech
8,Mexico,Mexico City,20996000.0,19.3616091,-99.2761271,Apple,Tech
9,China,Guangzhou,20902000.0,23.1346077,113.319733,Apple,Tech
10,China,Beijing,19433000.0,40.0659478,116.5416341,Apple,Tech
11,Egypt,Cairo,19372000.0,40.7725222,-73.9262909,Apple,Tech
12,United States,New York,18713220.0,40.782832,-73.978328,Apple,Tech
13,India,Kolkāta,17560000.0,22.5582239,88.35369847646277,Apple,Tech
14,Russia,Moscow,17125000.0,55.7082636,37.6590455,Apple,Tech
15,Thailand,Bangkok,17066000.0,13.7475906,100.5386711,Apple,Tech
16,Argentina,Buenos Aires,16157000.0,40.7252275,-73.9831134,Apple,Tech
17,China,Shenzhen,15929000.0,22.5398506,113.9710569,Apple,Tech
18,Bangladesh,Dhaka,15443000.0,23.8242597,90.3617603,Apple,Tech
19,Nigeria,Lagos,15279000.0,40.6191238,-73.9260348,Apple,Tech
20,Turkey,Istanbul,15154000.0,41.0012845,29.0548736,Apple,Tech
21,Japan,Ōsaka,14977000.0,34.5211545,135.5259596,Apple,Tech
22,Pakistan,Karachi,14835000.0,24.8116171,67.0184787,Apple,Tech
23,India,Bangalore,13707000.0,12.941045549999998,77.52598675225555,Apple,Tech
24,Iran,Tehran,13633000.0,35.7479,51.4776505,Apple,Tech
25,Vietnam,Ho Chi Minh City,13312000.0,10.7673411,106.6670667,Apple,Tech
26,United States,Los Angeles,12750807.0,34.1443979,-118.257051,Apple,Tech
27,Brazil,Rio de Janeiro,12272000.0,-23.0091365,-43.436734349999995,Apple,Tech
28,China,Nanyang,12010000.0,32.9931932,112.5301343,Apple,Tech
29,India,Chennai,11324000.0,13.0283513,80.2091487,Apple,Tech
30,China,Chengdu,11309000.0,30.6545143,104.0812133,Apple,Tech
31,Pakistan,Lahore,11021000.0,31.50190035,74.36492927043798,Apple,Tech
32,France,Paris,11020000.0,48.8721361,2.3013269,Apple,Tech
33,United Kingdom,London,10979000.0,51.5866448,0.0368466,Apple,Tech
34,China,Linyi,10820000.0,35.26418855,118.31001817300901,Apple,Tech
35,China,Tianjin,10800000.0,39.0888666,117.2074717,Apple,Tech
36,Peru,Lima,9848000.0,-11.9943244,-77.0619141,Apple,Tech
37,India,Hyderābād,9746000.0,17.4448604,78.386635,Apple,Tech
38,Colombia,Bogotá,9464000.0,4.6734523,-74.051569,Apple,Tech
39,China,Weifang,9373000.0,35.9955335,119.3982246,Apple,Tech
40,Japan,Nagoya,9113000.0,35.1578945,136.8601026,Apple,Tech
41,United States,Chicago,8604203.0,41.9106114,-87.64850215,Apple,Tech
42,Angola,Luanda,8417000.0,-8.8375554,13.2369683,Apple,Tech
43,Malaysia,Kuala Lumpur,8285000.0,3.1461928,101.7090396,Apple,Tech
44,China,Jinan,7967400.0,36.6628341,117.0172087,Apple,Tech
45,Vietnam,Hanoi,7785000.0,21.0311596,105.8501553,Apple,Tech
46,India,Pune,7764000.0,18.4859019,73.8556824,Apple,Tech
47,China,Chongqing,7739000.0,29.5609959,106.572207,Apple,Tech
48,China,Ningbo,7639000.0,40.7080812,-74.0182068,Apple,Tech
49,China,Nanjing,7496000.0,32.0492876,118.7956595,Apple,Tech
50,India,Ahmedabad,7410000.0,23.0168879,72.4705235,Apple,Tech
51,Hong Kong,Hong Kong,7347000.0,22.2991929,114.1687323,Apple,Tech
52,Sudan,Khartoum,7282000.0,15.5441417,32.4980627,Apple,Tech
53,China,Nanning,7153300.0,22.8140483,108.3882326,Apple,Tech
54,Chile,Santiago,7007000.0,19.3905082,-99.1253074,Apple,Tech
55,Saudi Arabia,Riyadh,6881000.0,24.7045711,46.6917068,Apple,Tech
56,Tanzania,Dar es Salaam,6698000.0,-6.90886,39.1709535,Apple,Tech
57,China,Hangzhou,6446000.0,30.256630649999998,120.15879773298636,Apple,Tech
58,United States,Miami,6445545.0,25.7667491,-80.193579,Apple,Tech
59,China,Kunming,6250000.0,25.0393397,102.7059586,Apple,Tech
60,China,Zunyi,6127009.0,27.687813,106.9235914,Apple,Tech
61,China,Lu’an,6090000.0,31.605606,-91.524331,Apple,Tech
62,Spain,Madrid,6026000.0,40.4168855,-3.7022602,Apple,Tech
63,China,Taizhou,5968838.0,32.0150217,120.2625664,Apple,Tech
64,India,Sūrat,5807000.0,9.4599598,100.041398,Apple,Tech
65,Iraq,Baghdad,5796000.0,33.3101166,44.4367481,Apple,Tech
66,China,Qingdao,5775000.0,36.0659656,120.3739538,Apple,Tech
67,Singapore,Singapore,5745000.0,1.2833424,103.8575679,Apple,Tech
68,United States,Dallas,5743938.0,32.9306464,-96.8192023,Apple,Tech
69,China,Suzhou,5690000.0,31.3182913,120.6727771,Apple,Tech
70,United States,Philadelphia,5649300.0,40.0692765,-75.0632968,Apple,Tech
71,Egypt,Giza,5598402.0,29.9547,31.0038741,Apple,Tech
72,Kenya,Nairobi,5545000.0,-1.2685579,36.7727121,Apple,Tech
73,Turkey,Ankara,5503985.0,41.0130471,28.9750386,Apple,Tech
74,China,Tai’an,5499000.0,54.9733185,-1.616822,Apple,Tech
75,United States,Houston,5464251.0,29.9602747,-95.5394013,Apple,Tech
76,United States,Atlanta,5449398.0,33.8472918,-84.3628461,Apple,Tech
77,Myanmar,Rangoon,5430000.0,40.6756892,-73.9600235,Apple,Tech
78,Canada,Toronto,5429524.0,43.652817,-79.3805154,Apple,Tech
79,United States,Washington,5379184.0,38.90593055,-77.0623995700689,Apple,Tech
80,China,Jinhua,5361572.0,29.3285828,120.102025,Apple,Tech
81,Russia,Saint Petersburg,5351935.0,40.5764447,-73.9660803,Apple,Tech
82,Australia,Sydney,5312163.0,-33.8838222,151.1941449,Apple,Tech
83,Mexico,Guadalajara,5253000.0,40.6298101,-3.1602463,Apple,Tech
84,China,Suzhou,5250000.0,31.3182913,120.6727771,Apple,Tech
85,China,Fuzhou,5245000.0,31.2350886,121.4754904,Apple,Tech
86,China,Pudong,5187200.0,31.239342399999998,121.49697982534015,Apple,Tech
87,Australia,Melbourne,5078193.0,-37.9582952,145.0522784,Apple,Tech
88,China,Nanchang,5042565.0,25.0258816,121.5223782,Apple,Tech
89,China,Taizhou,5031000.0,32.0150217,120.2625664,Apple,Tech
90,Indonesia,Surabaya,4975000.0,-7.2934962500000005,112.64839907536081,Apple,Tech
91,China,Ji’an,4956600.0,39.6035581,-79.5053034,Apple,Tech
92,Egypt,Alexandria,4870000.0,38.964195,-84.381294,Apple,Tech
93,United States,Boston,4688346.0,42.3489689,-71.0824143,Apple,Tech
94,Spain,Barcelona,4588000.0,41.3879538,2.169488,Apple,Tech
95,China,Wuxi,4580000.0,31.5760767,120.2932253,Apple,Tech
96,China,Jiaxing,4501657.0,30.3840578,120.4168536,Apple,Tech
97,China,Dalian,4480000.0,40.7895396,-73.8540692,Apple,Tech
98,South Africa,Johannesburg,4434827.0,-26.0817416,27.9298207,Apple,Tech
99,Morocco,Casablanca,4370000.0,40.6825599,-73.9292069,Apple,Tech
100,China,Wenzhou,4310000.0,25.0192027,121.5321887,Apple,Tech
