,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,35.672324950000004,139.7657468,Apple,Tech
1,1,Indonesia,Jakarta,34540000.0,-6.1805168,106.8401436,Apple,Tech
2,2,India,Delhi,29617000.0,28.5676224,77.2467184,Apple,Tech
3,3,India,Mumbai,23355000.0,19.1348,72.83235962499127,Apple,Tech
4,4,Philippines,Manila,23088000.0,14.7000584,121.0858365,Apple,Tech
5,5,China,Shanghai,22120000.0,31.2350886,121.4754904,Apple,Tech
6,6,Brazil,São Paulo,22046000.0,-23.6059177,-46.6581073,Apple,Tech
7,7,"Korea, South",Seoul,21794000.0,37.5646213,126.9827355,Apple,Tech
8,8,Mexico,Mexico City,20996000.0,19.3616091,-99.2761271,Apple,Tech
9,9,China,Guangzhou,20902000.0,23.1346077,113.319733,Apple,Tech
10,10,China,Beijing,19433000.0,40.0659478,116.5416341,Apple,Tech
11,11,Egypt,Cairo,19372000.0,40.7725222,-73.9262909,Apple,Tech
12,12,United States,New York,18713220.0,40.782832,-73.978328,Apple,Tech
13,13,India,Kolkāta,17560000.0,22.5582239,88.35369847646277,Apple,Tech
14,14,Russia,Moscow,17125000.0,55.7082636,37.6590455,Apple,Tech
15,15,Thailand,Bangkok,17066000.0,13.7475906,100.5386711,Apple,Tech
