,Country,City,Population,Latitude,Longitude,Company,Type
0,Japan,Tokyo,37977000.0,35.7056172,139.5769351,Nike,Mode
1,Indonesia,Jakarta,34540000.0,-6.2656348,106.7830542,Nike,Mode
2,India,Delhi,29617000.0,28.5573461,77.163798,Nike,Mode
3,India,Mumbai,23355000.0,19.1362681,72.8296148,Nike,Mode
4,Philippines,Manila,23088000.0,14.6520224,121.0755371,Nike,Mode
5,China,Shanghai,22120000.0,31.2363921,121.4705843,Nike,Mode
6,Brazil,São Paulo,22046000.0,-23.420056600000002,-47.163394579447306,Nike,Mode
7,"Korea, South",Seoul,21794000.0,37.502298,127.0259218,Nike,Mode
8,Mexico,Mexico City,20996000.0,19.438915,-99.2010688,Nike,Mode
9,China,Guangzhou,20902000.0,23.1281183,113.2637371,Nike,Mode
10,China,Beijing,19433000.0,39.7853191,116.3196691,Nike,Mode
11,Egypt,Cairo,19372000.0,30.0587324,31.2214644,Nike,Mode
12,United States,New York,18713220.0,40.6230394,-73.63827,Nike,Mode
13,India,Kolkāta,17560000.0,22.5618943,88.3511411,Nike,Mode
14,Russia,Moscow,17125000.0,55.771065,37.6201165,Nike,Mode
15,Thailand,Bangkok,17066000.0,13.9175416,100.6013761,Nike,Mode
16,Argentina,Buenos Aires,16157000.0,-34.6187238,-58.43791534229638,Nike,Mode
17,China,Shenzhen,15929000.0,22.6259715,114.0198503,Nike,Mode
18,Bangladesh,Dhaka,15443000.0,52.2102232,20.9130671,Nike,Mode
19,Nigeria,Lagos,15279000.0,6.4315265,3.481844656830685,Nike,Mode
20,Turkey,Istanbul,15154000.0,41.0143495,28.9675463,Nike,Mode
21,Japan,Ōsaka,14977000.0,34.672071,135.5006127,Nike,Mode
22,Pakistan,Karachi,14835000.0,24.8139919,67.0277322,Nike,Mode
23,India,Bangalore,13707000.0,13.0293655,77.570961,Nike,Mode
24,Iran,Tehran,13633000.0,31.9857022,34.767562,Nike,Mode
25,Vietnam,Ho Chi Minh City,13312000.0,10.7699376,106.6913455,Nike,Mode
26,United States,Los Angeles,12750807.0,34.1459389,-118.1513107,Nike,Mode
27,Brazil,Rio de Janeiro,12272000.0,-22.5195529,-44.0038759,Nike,Mode
28,China,Baoding,11860000.0,38.8668576,115.4919648,Nike,Mode
29,India,Chennai,11324000.0,52.2102232,20.9130671,Nike,Mode
30,China,Chengdu,11309000.0,30.6550104,104.0814439,Nike,Mode
31,Pakistan,Lahore,11021000.0,52.2102232,20.9130671,Nike,Mode
32,France,Paris,11020000.0,48.86126265,2.347509766277338,Nike,Mode
33,United Kingdom,London,10979000.0,51.5077603,-0.2205688,Nike,Mode
34,China,Tianjin,10800000.0,39.1609814,117.3930522,Nike,Mode
35,Peru,Lima,9848000.0,-12.0771769,-77.0829793,Nike,Mode
36,India,Hyderābād,9746000.0,17.4340349,78.4038158,Nike,Mode
37,Colombia,Bogotá,9464000.0,4.69747865,-74.044970068726,Nike,Mode
38,China,Weifang,9373000.0,36.7099294,119.1060122,Nike,Mode
39,Japan,Nagoya,9113000.0,35.1680638,136.9073265,Nike,Mode
40,China,Wuhan,8962000.0,30.5085295,114.2019372,Nike,Mode
41,China,Heze,8750000.0,34.7904419,116.0789592,Nike,Mode
42,United States,Chicago,8604203.0,41.9116924,-87.677657,Nike,Mode
43,Angola,Luanda,8417000.0,-8.811142449999998,13.256051153629706,Nike,Mode
44,Malaysia,Kuala Lumpur,8285000.0,52.2102232,20.9130671,Nike,Mode
45,China,Dongguan,7981000.0,38.8668576,115.4919648,Nike,Mode
46,China,Jinan,7967400.0,36.6538475,116.9679758,Nike,Mode
47,Vietnam,Hanoi,7785000.0,21.00241975,105.81576440366882,Nike,Mode
48,India,Pune,7764000.0,52.2102232,20.9130671,Nike,Mode
49,China,Chongqing,7739000.0,43.8891926,125.314691,Nike,Mode
50,China,Changchun,7674439.0,43.8891926,125.314691,Nike,Mode
51,Japan,Tokyo,37977000.0,35.660819000000004,139.72860148656522,Zara,Mode
52,India,Delhi,29617000.0,28.5598136,77.2061901,Zara,Mode
53,India,Mumbai,23355000.0,19.1067161,72.89948034277606,Zara,Mode
54,Philippines,Manila,23088000.0,14.5516204,121.0470494,Zara,Mode
55,China,Shanghai,22120000.0,31.2377067,121.4742044,Zara,Mode
56,Brazil,São Paulo,22046000.0,-21.2111956,-47.8171951,Zara,Mode
57,"Korea, South",Seoul,21794000.0,37.514185,127.1050698,Zara,Mode
58,Mexico,Mexico City,20996000.0,19.4868421,-99.1517377,Zara,Mode
59,China,Guangzhou,20902000.0,23.1354625,113.3257901,Zara,Mode
60,China,Beijing,19433000.0,39.823558,116.2930646,Zara,Mode
61,Egypt,Cairo,19372000.0,29.981895,31.3161009,Zara,Mode
62,United States,New York,18713220.0,40.7380555,-73.9918937,Zara,Mode
63,India,Kolkāta,17560000.0,42.2136323,20.7299705,Zara,Mode
64,Russia,Moscow,17125000.0,55.7581914,38.0823979,Zara,Mode
65,Thailand,Bangkok,17066000.0,13.7458341,100.5353938,Zara,Mode
66,Argentina,Buenos Aires,16157000.0,-34.5956419,-58.3952722,Zara,Mode
67,China,Shenzhen,15929000.0,22.5624552,113.9012145,Zara,Mode
68,Bangladesh,Dhaka,15443000.0,23.7802162,90.4145353,Zara,Mode
69,Nigeria,Lagos,15279000.0,39.8825956,37.78732544185303,Zara,Mode
70,Turkey,Istanbul,15154000.0,40.9590444,29.0827103,Zara,Mode
71,Japan,Ōsaka,14977000.0,34.67013,135.501491,Zara,Mode
72,Pakistan,Karachi,14835000.0,24.8335178,67.3150038,Zara,Mode
73,India,Bangalore,13707000.0,13.0110782,77.5553337,Zara,Mode
74,Iran,Tehran,13633000.0,42.2136323,20.7299705,Zara,Mode
75,Vietnam,Ho Chi Minh City,13312000.0,43.0314647,44.6693779,Zara,Mode
76,United States,Los Angeles,12750807.0,34.1013535,-118.3403881,Zara,Mode
77,India,Chennai,11324000.0,42.2136323,20.7299705,Zara,Mode
78,China,Chengdu,11309000.0,30.6883603,104.0724326,Zara,Mode
79,Pakistan,Lahore,11021000.0,42.2136323,20.7299705,Zara,Mode
80,France,Paris,11020000.0,48.8709702,2.3330039,Zara,Mode
81,United Kingdom,London,10979000.0,51.55428885,-0.16589721117909056,Zara,Mode
82,China,Tianjin,10800000.0,39.1259529,117.1956811,Zara,Mode
83,China,Shijiazhuang,10784600.0,38.04338,114.5003175,Zara,Mode
84,Peru,Lima,9848000.0,-12.0856502,-76.9764765,Zara,Mode
85,India,Hyderābād,9746000.0,17.4399027,78.363732,Zara,Mode
86,Colombia,Bogotá,9464000.0,4.66674025,-74.05424893889608,Zara,Mode
87,China,Wuhan,8962000.0,30.5594059,114.3353627,Zara,Mode
88,United States,Chicago,8604203.0,41.8951552,-87.6246644,Zara,Mode
89,Angola,Luanda,8417000.0,-8.8870651,13.2051603,Zara,Mode
90,China,Changsha,8394500.0,28.202852,112.9711203,Zara,Mode
